dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/short,VISIT-2.0,428213.3333,428213.3333,353.3461458,1.238654566,0.016723032,0.017003393,13.87500628,654.3801138,0.025236825,0.013627148,0.010875178,Web/CloudOps,2
bizitobs_l2c/5T/long,VISIT-2.0,54.06692956,54.06692956,4.50750155,0.447834423,0.397430176,0.711895151,3.557713476,7.353021798,0.412861181,0.253089473,0.204155889,Web/CloudOps,7
bizitobs_l2c/5T/medium,VISIT-2.0,58.61538053,58.61538053,4.666094016,0.469746502,0.386647281,0.622179179,3.738840856,7.656068216,0.402821776,0.245505163,0.199740004,Web/CloudOps,7
bizitobs_l2c/5T/short,VISIT-2.0,23.26709449,23.26709449,2.834544736,0.282659229,0.160844846,0.208224342,2.532605021,4.823597671,0.165661868,0.09734974,0.078761289,Web/CloudOps,7
bizitobs_l2c/H/long,VISIT-2.0,86.59484127,86.59484127,5.736348276,0.610576421,0.722903184,0.802369036,6.73033174,9.30563492,0.568415039,0.350392709,0.293103336,Web/CloudOps,7
bizitobs_l2c/H/medium,VISIT-2.0,70.94221075,70.94221075,5.168858701,0.539514455,0.597791415,0.787728664,3.899594941,8.422719914,0.510008484,0.312982245,0.251853443,Web/CloudOps,7
bizitobs_l2c/H/short,VISIT-2.0,69.33306207,69.33306207,5.051598927,0.506271636,0.476726505,0.649847485,3.267068073,8.326647709,0.448827683,0.272294148,0.216358459,Web/CloudOps,7
bizitobs_service/10S/long,VISIT-2.0,128701.3316,128701.3316,82.12467593,1.461837971,0.087906029,0.08508419,22.0618693,358.7496782,0.265773231,0.060840585,0.056093795,Web/CloudOps,2
bizitobs_service/10S/medium,VISIT-2.0,17769.65714,17769.65714,41.77768353,1.18427667,0.075676231,0.068241219,12.2360566,133.3028775,0.100326875,0.031442865,0.024607991,Web/CloudOps,2
bizitobs_service/10S/short,VISIT-2.0,2458.68381,2458.68381,20.2984127,0.820537703,0.061872772,0.051083723,8.341971087,49.58511681,0.03673424,0.015037713,0.011984052,Web/CloudOps,2
